resource_type,current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,products_count,internal_references_impacted
article,nyheter/vandringsutrustning,news/hiking-equipment,/blogs/nyheter/vandringsutrustning,/blogs/news/hiking-equipment,YES,YES,Vandringsutrustning för nybörjare och proffs,,
article,nyheter/mavic-3-pro,news/mavic-3-pro,/blogs/nyheter/mavic-3-pro,/blogs/news/mavic-3-pro,YES,YES,Mavic 3 Pro: En guide för fotografer i Sverige,,
article,nyheter/campingutrustning,news/camping-equipment,/blogs/nyheter/campingutrustning,/blogs/news/camping-equipment,YES,YES,Välj rätt campingutrustning för ditt äventyr,,
article,nyheter/fly-dji-drone,news/fly-dji-drone,/blogs/nyheter/fly-dji-drone,/blogs/news/fly-dji-drone,YES,YES,En komplett guide för dig som flyger DJI,,
article,nyheter/basta-powerbanken,news/best-powerbanken,/blogs/nyheter/basta-powerbanken,/blogs/news/best-powerbanken,YES,YES,Vilken är den bästa powerbanken?,,
article,nyheter/gopro-tillbehor-batterier-filter,news/gopro-accessories-batteryer-filter,/blogs/nyheter/gopro-tillbehor-batterier-filter,/blogs/news/gopro-accessories-batteryer-filter,YES,YES,Tillbehör till GoPro – optimera varje äventyr,,
article,nyheter/dji-mini-4pro-fragor-svar,news/dji-mini-4pro-fragor-svar,/blogs/nyheter/dji-mini-4pro-fragor-svar,/blogs/news/dji-mini-4pro-fragor-svar,YES,YES,DJI Mini 4 Pro – FAQ: Vanliga frågor och svar,,
article,nyheter/tradlos-mikrofon-bluetooth,news/wireless-microphone-bluetooth,/blogs/nyheter/tradlos-mikrofon-bluetooth,/blogs/news/wireless-microphone-bluetooth,YES,YES,Trådlös mikrofon bluetooth guide för perfekt ljud,,
article,nyheter/campingkok,news/campingkok,/blogs/nyheter/campingkok,/blogs/news/campingkok,YES,YES,Campingkök: Din guide till rätt kök för friluftsliv,,
article,nyheter/vevradio,news/vevradio,/blogs/nyheter/vevradio,/blogs/news/vevradio,YES,YES,Vevradio för nybörjare en komplett guide,,
article,nyheter/overlevnadsutrustning,news/survival-equipment,/blogs/nyheter/overlevnadsutrustning,/blogs/news/survival-equipment,YES,YES,Överlevnadsutrustning din kompletta guide,,
article,nyheter/nodfilt,news/nodfilt,/blogs/nyheter/nodfilt,/blogs/news/nodfilt,YES,YES,Nödfilt: Överlevnadsguiden för kris och äventyr,,
article,nyheter/dji-pocket-2,news/dji-pocket-2,/blogs/nyheter/dji-pocket-2,/blogs/news/dji-pocket-2,YES,YES,DJI Pocket 2 Din guide för perfekta videor,,
article,nyheter/bast-i-test-actionkamera,news/bast-i-test-actionkamera,/blogs/nyheter/bast-i-test-actionkamera,/blogs/news/bast-i-test-actionkamera,YES,YES,Bäst i test actionkamera för dina äventyr,,
article,nyheter/far-man-flyga-dronare-over-annans-tomt,news/far-man-flyga-drones-over-annans-tomt,/blogs/nyheter/far-man-flyga-dronare-over-annans-tomt,/blogs/news/far-man-flyga-drones-over-annans-tomt,YES,YES,Får man flyga drönare över annans tomt? Regler 2024,,
article,nyheter/dronare-for-nyborjare,news/drones-for-nyborjare,/blogs/nyheter/dronare-for-nyborjare,/blogs/news/drones-for-nyborjare,YES,YES,Drönare för nybörjare: Enkel guide till din första drönare,,
article,nyheter/portabla-solceller,news/portabla-solceller,/blogs/nyheter/portabla-solceller,/blogs/news/portabla-solceller,YES,YES,Portabla solceller en komplett guide,,
article,nyheter/dronare-med-kamera,news/drones-med-kamera,/blogs/nyheter/dronare-med-kamera,/blogs/news/drones-med-kamera,YES,YES,Välj rätt drönare med kamera för fantastiska bilder,,
article,nyheter/regler-for-dronare,news/regulations-for-drones,/blogs/nyheter/regler-for-dronare,/blogs/news/regulations-for-drones,YES,YES,Regler för drönare en komplett guide,,
article,nyheter/kopa-dronare-med-kamera,news/kopa-drones-med-kamera,/blogs/nyheter/kopa-dronare-med-kamera,/blogs/news/kopa-drones-med-kamera,YES,YES,Köpa drönare med kamera – din guide till det perfekta valet,,
article,nyheter/upptack-din-varld-i-360-grader-med-gopro,news/upptack-din-varld-i-360-grader-med-gopro,/blogs/nyheter/upptack-din-varld-i-360-grader-med-gopro,/blogs/news/upptack-din-varld-i-360-grader-med-gopro,YES,YES,Upptäck din värld i 360° med GoPro,,
article,nyheter/actionkamera,news/actionkamera,/blogs/nyheter/actionkamera,/blogs/news/actionkamera,YES,YES,Välj rätt actionkamera för dina äventyr,,
article,nyheter/dji-reservdelar,news/dji-spare-parts,/blogs/nyheter/dji-reservdelar,/blogs/news/dji-spare-parts,YES,YES,Hitta rätt DJI reservdelar för din drönare,,
article,nyheter/gopro-reservdelar,news/gopro-spare-parts,/blogs/nyheter/gopro-reservdelar,/blogs/news/gopro-spare-parts,YES,YES,En komplett guide till gopro reservdelar,,
article,nyheter/led-lampa-pa-batteri,news/led-lampa-pa-battery,/blogs/nyheter/led-lampa-pa-batteri,/blogs/news/led-lampa-pa-battery,YES,YES,Så väljer du rätt LED-Lampa,,
article,nyheter/gopro-tillbehor,news/gopro-accessories,/blogs/nyheter/gopro-tillbehor,/blogs/news/gopro-accessories,YES,YES,Välj rätt gopro tillbehör för ditt nästa äventyr,,
article,nyheter/stativ-till-mobil-for-att-filma,news/stativ-till-mobil-for-att-filma,/blogs/nyheter/stativ-till-mobil-for-att-filma,/blogs/news/stativ-till-mobil-for-att-filma,YES,YES,Välj rätt stativ till mobil för att filma,,
article,nyheter/time-lapse-kamera,news/time-lapse-kamera,/blogs/nyheter/time-lapse-kamera,/blogs/news/time-lapse-kamera,YES,YES,Bemästra din time lapse kamera från grunden,,
article,nyheter/dji-osmo-tillbehor,news/dji-osmo-accessories,/blogs/nyheter/dji-osmo-tillbehor,/blogs/news/dji-osmo-accessories,YES,YES,Så väljer du rätt dji osmo tillbehör för bättre filmer,,
article,nyheter/krislada,news/krislada,/blogs/nyheter/krislada,/blogs/news/krislada,YES,YES,Så bygger du en komplett krislåda för din hemberedskap,,
article,nyheter/krisberedskap-hemma,news/krisberedskap-hemma,/blogs/nyheter/krisberedskap-hemma,/blogs/news/krisberedskap-hemma,YES,YES,Krisberedskap hemma som faktiskt fungerar i praktiken,,
article,nyheter/karbinhake,news/karbinhake,/blogs/nyheter/karbinhake,/blogs/news/karbinhake,YES,YES,Karbinhake: Hur du väljer rätt karbin och säkrar klättringen (karbinhake),,
article,nyheter/tradlos-mygga-mikrofon,news/wireless-mygga-microphone,/blogs/nyheter/tradlos-mygga-mikrofon,/blogs/news/wireless-mygga-microphone,YES,YES,Komplett guide till trådlös mygga mikrofon,,
product,telesin-t10-fjarrkontroll-silikonskal-skyddande-fo,telesin-t10-remote-control-silicone-case-protective-fo,/products/telesin-t10-fjarrkontroll-silikonskal-skyddande-fo,/products/telesin-t10-remote-control-silicone-case-protective-fo,YES,YES,TELESIN T10 Remote Control - Skyddande Silikonskal för TELESIN T10,,
product,insta360-ace-pro-2-case-silikon-neck-strap,insta360-ace-pro-2-case-silicone-neck-strap,/products/insta360-ace-pro-2-case-silikon-neck-strap,/products/insta360-ace-pro-2-case-silicone-neck-strap,YES,YES,Insta360 Ace Pro 2 Fodral med Nackrem,,
product,insta360-ace-pro-2-metallbur-skyddande-ram,insta360-ace-pro-2-metal-cage-protective-ram,/products/insta360-ace-pro-2-metallbur-skyddande-ram,/products/insta360-ace-pro-2-metal-cage-protective-ram,YES,YES,Insta360 Ace Pro 2 Metal - Skyddande Metallbur för Insta360 Ace Pro 2,,
product,ministativ-tripod,mini-tripod-tripod,/products/ministativ-tripod,/products/mini-tripod-tripod,YES,YES,Stabilisera dina bilder med ett flexibelt ministativ tripod,,
product,pgytech-96cm-aluminium-selfiepinne-sportkamera,pgytech-96cm-aluminium-selfie-stick-action-camera,/products/pgytech-96cm-aluminium-selfiepinne-sportkamera,/products/pgytech-96cm-aluminium-selfie-stick-action-camera,YES,YES,Selfiepinne sportkamera - PGYTECH 96cm Aluminium Selfiepinne,,
