current_handle,proposed_handle,current_url,proposed_url,swedish_detected,recommendation,execute_phase,status,title
insta360-one-x2-helkroppsskydd-silikon,insta360-one-x2-helkroppsprotection-silicone,/products/insta360-one-x2-helkroppsskydd-silikon,/products/insta360-one-x2-helkroppsprotection-silicone,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Full Body Dust-proof Silicone - Helkroppsskydd i Dammtät Silikon
jsr-dronarfilter-4-i-1-uv-cpl-nd-dji-mavic-mini,jsr-dronefilter-4-i-1-uv-cpl-nd-dji-mavic-mini,/products/jsr-dronarfilter-4-i-1-uv-cpl-nd-dji-mavic-mini,/products/jsr-dronefilter-4-i-1-uv-cpl-nd-dji-mavic-mini,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,JSR Drönarfilter 4-i-1 till DJI Mavic Mini
gp244-b-actionkamera-faste-alu-nvg,gp244-b-actionkamera-mount-alu-nvg,/products/gp244-b-actionkamera-faste-alu-nvg,/products/gp244-b-actionkamera-mount-alu-nvg,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Actionkamera fäste alu - Actionkamera Fäste i Aluminium för Mångsidig
dji-osmo-action-kupol,dji-osmo-action-kupol,/products/dji-osmo-action-kupol,/products/dji-osmo-action-kupol,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Osmo Action Kupol för Undervattensfotografering
dji-rc-neck-strap-startrc,dji-rc-neck-strap-startrc,/products/dji-rc-neck-strap-startrc,/products/dji-rc-neck-strap-startrc,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI RC Nackrem STARTRC för Drönarkontroll
mjukt-tpu-skyddsfodral-insta360-ace-pro,mjukt-tpu-protectionsfodral-insta360-ace-pro,/products/mjukt-tpu-skyddsfodral-insta360-ace-pro,/products/mjukt-tpu-protectionsfodral-insta360-ace-pro,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Body Soft TPU Protective Case - Mjukt TPU Skyddsfodral med Linsskydd
sunnylife-oa-fi179-lins-dykfilter-dji-osmo-action,sunnylife-oa-fi179-lins-dykfilter-dji-osmo-action,/products/sunnylife-oa-fi179-lins-dykfilter-dji-osmo-action,/products/sunnylife-oa-fi179-lins-dykfilter-dji-osmo-action,NO,KEEP,6_REVIEW_ONLY,DRAFT,Sunnylife OA-FI179 Lens Diving - Sunnylife OA-FI179 Dykarfilter
dji-fpv-combo-backpack-stottalig,dji-fpv-combo-backpack-stottalig,/products/dji-fpv-combo-backpack-stottalig,/products/dji-fpv-combo-backpack-stottalig,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI FPV Combo ryggsäck - Stöttålig Ryggsäck för DJI FPV Combo
insta360-go-2-laddbox-silikonskydd,insta360-go-2-laddbox-siliconeprotection,/products/insta360-go-2-laddbox-silikonskydd,/products/insta360-go-2-laddbox-siliconeprotection,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Laddning Box Silicone - Silikonskydd för Insta360 GO 2 Laddbox
battery-charger-dji-osmo-action-double,battery-charger-dji-osmo-action-double,/products/battery-charger-dji-osmo-action-double,/products/battery-charger-dji-osmo-action-double,NO,KEEP,6_REVIEW_ONLY,DRAFT,Batteriladdare DJI Osmo Action 5/4/3 Dubbel
insta360-go-2-skyddsram-with-stativadapter,insta360-go-2-protectionsram-with-stativadapter,/products/insta360-go-2-skyddsram-with-stativadapter,/products/insta360-go-2-protectionsram-with-stativadapter,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 GO 2 Skyddsram med Stativadapter
mini-barvaska-dji-osmo-pocket-forvaring,mini-barbag-dji-osmo-pocket-storage,/products/mini-barvaska-dji-osmo-pocket-forvaring,/products/mini-barbag-dji-osmo-pocket-storage,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Mini Carrying Case Bärbar för DJI Osmo Pocket
waterproof-skyddsfodral-insta360-go-2,waterproof-protectionsfodral-insta360-go-2,/products/waterproof-skyddsfodral-insta360-go-2,/products/waterproof-protectionsfodral-insta360-go-2,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,30m Underwater Waterproof - Vattentätt Skyddsfodral för Insta360 GO 2
puluz-metallbur-dji-osmo-action-5,puluz-metal-cage-dji-osmo-action-5,/products/puluz-metallbur-dji-osmo-action-5,/products/puluz-metal-cage-dji-osmo-action-5,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,PULUZ metallbur DJI Osmo - PULUZ metallbur för DJI Osmo Action 5
dji-pocket-2-vasa-protection,dji-pocket-2-vasa-protection,/products/dji-pocket-2-vasa-protection,/products/dji-pocket-2-vasa-protection,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Pocket 2 väska – Optimalt skydd
waterproof-laddningshus-gopro-hero-9-10,waterproof-laddningshus-gopro-hero-9-10,/products/waterproof-laddningshus-gopro-hero-9-10,/products/waterproof-laddningshus-gopro-hero-9-10,NO,KEEP,6_REVIEW_ONLY,DRAFT,Vattentätt Laddningshus för GoPro Hero 9/10
rcgeek-dji-osmo-pocket-2-ministativ-accessories,rcgeek-dji-osmo-pocket-2-mini-tripod-accessories,/products/rcgeek-dji-osmo-pocket-2-ministativ-accessories,/products/rcgeek-dji-osmo-pocket-2-mini-tripod-accessories,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,RCGEEK för DJI OSMO Pocket 2 - RCGEEK Mini Stativ för DJI Osmo Pocket
hjalmfaste-fjarilsfaste-actionkamera-adapter,hjalmmount-fjarilsmount-actionkamera-adapter,/products/hjalmfaste-fjarilsfaste-actionkamera-adapter,/products/hjalmmount-fjarilsmount-actionkamera-adapter,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Butterfly Helmet Fäste Adapter - Fjärilsfäste för Hjälm
osmo-pocket-mobiladapter-8-pins-smartphonefaste,osmo-pocket-mobiladapter-8-pins-smartphonemount,/products/osmo-pocket-mobiladapter-8-pins-smartphonefaste,/products/osmo-pocket-mobiladapter-8-pins-smartphonemount,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,OSMO Pocket Mobiladapter för iPhone
hjalmfaste-actionkamera-faste,hjalmmount-actionkamera-mount,/products/hjalmfaste-actionkamera-faste,/products/hjalmmount-actionkamera-mount,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Hjälmfäste actionka faste - Hjälmfäste för Actionkamera med Pivotarm
sunnylife-magnetiskt-snabbfaste-dji-osmo-action-5,sunnylife-magnetiskt-snabbmount-dji-osmo-action-5,/products/sunnylife-magnetiskt-snabbfaste-dji-osmo-action-5,/products/sunnylife-magnetiskt-snabbmount-dji-osmo-action-5,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,DJI Osmo Action 5 Pro / 4 / 3 - Sunnylife Magnetiskt Snabbfäste
pgytech-osmo-pocket-mobilfaste,pgytech-osmo-pocket-mobilmount,/products/pgytech-osmo-pocket-mobilfaste,/products/pgytech-osmo-pocket-mobilmount,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,PGYTECH Osmo Pocket Mobilfäste för DJI Pocket
dji-osmo-telefonklamma-magnetisk-mobilhallare,dji-osmo-telefonklamma-magnetisk-mobilhallare,/products/dji-osmo-telefonklamma-magnetisk-mobilhallare,/products/dji-osmo-telefonklamma-magnetisk-mobilhallare,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Osmo telefonklämma - Original DJI Osmo Magnetisk Telefonklämma 4
dji-flip-cellular-dongle-2-installationskit,dji-flip-cellular-dongle-2-installationskit,/products/dji-flip-cellular-dongle-2-installationskit,/products/dji-flip-cellular-dongle-2-installationskit,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Flip Cellular Dongle 2 Installationskit
dji-matrice-4-propellers-original,dji-matrice-4-propellers-original,/products/dji-matrice-4-propellers-original,/products/dji-matrice-4-propellers-original,NO,KEEP,6_REVIEW_ONLY,DRAFT,Original DJI Matrice 4 Propellrar för Drönare
startrc-1108859-vikbart-fjarrkontroll-solskydd-dji,startrc-1108859-vikbart-remote-control-solprotection-dji,/products/startrc-1108859-vikbart-fjarrkontroll-solskydd-dji,/products/startrc-1108859-vikbart-remote-control-solprotection-dji,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,STARTRC 1108859 Dedicated - STARTRC 1108859 Vikbart Solskydd
landningsstallsforlangare-dji-spark-saker-landning,landing-gearsforlangare-dji-spark-saker-landing,/products/landningsstallsforlangare-dji-spark-saker-landning,/products/landing-gearsforlangare-dji-spark-saker-landing,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Landningsställsförlängare för DJI Spark
junestar-4-i-1-professionellt-52mm-filterpaket,junestar-4-i-1-professionellt-52mm-filterpaket,/products/junestar-4-i-1-professionellt-52mm-filterpaket,/products/junestar-4-i-1-professionellt-52mm-filterpaket,NO,KEEP,6_REVIEW_ONLY,DRAFT,Professionellt 52mm Filterpaket för Actionkameror
dji-flip-startrc-leveranssystem-drones,dji-flip-startrc-leveranssystem-drones,/products/dji-flip-startrc-leveranssystem-drones,/products/dji-flip-startrc-leveranssystem-drones,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Flip STARTRC Leveranssystem för Drönare
dji-matrice-4-propellers-lag-ljudniva,dji-matrice-4-propellers-lag-ljudniva,/products/dji-matrice-4-propellers-lag-ljudniva,/products/dji-matrice-4-propellers-lag-ljudniva,NO,KEEP,6_REVIEW_ONLY,DRAFT,Originala DJI Matrice 4 Propellrar med Låg Ljudnivå
startrc-magnetisk-sugkopp-universalfaste,startrc-magnetisk-sugkopp-universalmount,/products/startrc-magnetisk-sugkopp-universalfaste,/products/startrc-magnetisk-sugkopp-universalmount,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,STARTRC Magnetisk Sugkopp: Säker Montering
insta360-x4-skarmskydd-hartdat-glas,insta360-x4-skarmprotection-hartdat-glas,/products/insta360-x4-skarmskydd-hartdat-glas,/products/insta360-x4-skarmprotection-hartdat-glas,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 X4 Skärms screen - Insta360 X4 Skärmskydd i Härdat Glas
heltackande-silikonfodral-instax360-one-x2,heltackande-siliconefodral-instax360-one-x2,/products/heltackande-silikonfodral-instax360-one-x2,/products/heltackande-siliconefodral-instax360-one-x2,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Heltäckande Silikonfodral för Insta360 ONE X2
hjalmfaste-magic-arm-360-actionkamera,hjalmmount-magic-arm-360-actionkamera,/products/hjalmfaste-magic-arm-360-actionkamera,/products/hjalmmount-magic-arm-360-actionkamera,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Flexibelt Hjälmfäste Magic Arm för Actionkamera
pocket-3-adapterfaste-startrc,pocket-3-adaptermount-startrc,/products/pocket-3-adapterfaste-startrc,/products/pocket-3-adaptermount-startrc,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Mångsidigt Pocket 3 Adapterfäste för DJI Osmo
amagisn-silikonsockel-insta360-x4-x5,amagisn-siliconesockel-insta360-x4-x5,/products/amagisn-silikonsockel-insta360-x4-x5,/products/amagisn-siliconesockel-insta360-x4-x5,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Amagisn Silikonsockel för Insta360 X4/X5
insta360-x4-telesin-battery-charger,insta360-x4-telesin-battery-charger,/products/insta360-x4-telesin-battery-charger,/products/insta360-x4-telesin-battery-charger,NO,KEEP,6_REVIEW_ONLY,DRAFT,Insta360 X4 Dubbel Batteriladdare med Förvaring
sunnylife-a2s-fi9342-nd32-linsfilter-dji-air-2s,sunnylife-a2s-fi9342-nd32-linsfilter-dji-air-2s,/products/sunnylife-a2s-fi9342-nd32-linsfilter-dji-air-2s,/products/sunnylife-a2s-fi9342-nd32-linsfilter-dji-air-2s,NO,KEEP,6_REVIEW_ONLY,DRAFT,Sunnylife ND32 Filter för DJI Air
sunnylife-a2s-fi9343-nd32pl-linsfilter-dji-air-2s,sunnylife-a2s-fi9343-nd32pl-linsfilter-dji-air-2s,/products/sunnylife-a2s-fi9343-nd32pl-linsfilter-dji-air-2s,/products/sunnylife-a2s-fi9343-nd32pl-linsfilter-dji-air-2s,NO,KEEP,6_REVIEW_ONLY,DRAFT,"Sunnylife A2S-FI9343 ND32PL Lens Filter for DJI Air 2S, ND32PL Filter"
puluz-actionkamera-forlangningsstativ,puluz-actionkamera-forlangningsstativ,/products/puluz-actionkamera-forlangningsstativ,/products/puluz-actionkamera-forlangningsstativ,NO,KEEP,6_REVIEW_ONLY,DRAFT,PULUZ Action Camera Extension - PULUZ Förlängningsstativ
actionkamera-kulledsfaste-metall-snabbfaste,actionkamera-kulledsmount-metall-snabbmount,/products/actionkamera-kulledsfaste-metall-snabbfaste,/products/actionkamera-kulledsmount-metall-snabbmount,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Actionkamera Kulledsfäste i Metall med Snabbfäste
justerbart-hjalmfaste-360-grader-actionkamera-1,justerbart-hjalmmount-360-grader-actionkamera-1,/products/justerbart-hjalmfaste-360-grader-actionkamera-1,/products/justerbart-hjalmmount-360-grader-actionkamera-1,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,360 Degree Adjust Helmet Fäste - Justerbart Hjälmfäste 360 Grader
tmc-cnc-aluminium-forlangare-actionkamera-16cm-1,tmc-cnc-aluminium-forlangare-actionkamera-16cm-1,/products/tmc-cnc-aluminium-forlangare-actionkamera-16cm-1,/products/tmc-cnc-aluminium-forlangare-actionkamera-16cm-1,NO,KEEP,6_REVIEW_ONLY,DRAFT,Actionkamera Förlängare - TMC CNC Aluminium Förlängare
ryggsacksfaste-360-graders-rotation-j-form,ryggsacksmount-360-graders-rotation-j-form,/products/ryggsacksfaste-360-graders-rotation-j-form,/products/ryggsacksmount-360-graders-rotation-j-form,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,360 Degree Rotation J Shape - Ryggsäcksfäste med 360 Graders Rotation
gopro-dykhus-filter-aqua-cube-snap-on-1,gopro-dykhus-filter-aqua-cube-snap-on-1,/products/gopro-dykhus-filter-aqua-cube-snap-on-1,/products/gopro-dykhus-filter-aqua-cube-snap-on-1,NO,KEEP,6_REVIEW_ONLY,DRAFT,"Polar Pro Aqua Cube Snap-on Dive Housing Filter for GoPro HERO4 /3+, Grey, Yellow"
insta360-x5-forvaring-hart-case,insta360-x5-storage-hart-case,/products/insta360-x5-forvaring-hart-case,/products/insta360-x5-storage-hart-case,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 X5 förvaring - Hårt Förvaringsfodral för Insta360 X5 Kamera
insta360-x4-silikonskydd-with-linsskydd,insta360-x4-siliconeprotection-with-lens-protector,/products/insta360-x4-silikonskydd-with-linsskydd,/products/insta360-x4-siliconeprotection-with-lens-protector,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 X4 Silikonskydd med Linsskydd
insta360-x5-anti-fog-snap-on-linsskydd,insta360-x5-anti-fog-snap-on-lens-protector,/products/insta360-x5-anti-fog-snap-on-linsskydd,/products/insta360-x5-anti-fog-snap-on-lens-protector,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 X5 Anti-Fog Snap-On Linsskydd
insta360-x5-plast-skyddsram-magnetisk,insta360-x5-plast-protectionsram-magnetisk,/products/insta360-x5-plast-skyddsram-magnetisk,/products/insta360-x5-plast-protectionsram-magnetisk,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 X5 Plastic Protective - Insta360 X5 Skyddsram med Magnetisk
insta360-x5-silikonskal-kroppsskydd-dammtalig,insta360-x5-silicone-case-kroppsprotection-dammtalig,/products/insta360-x5-silikonskal-kroppsskydd-dammtalig,/products/insta360-x5-silicone-case-kroppsprotection-dammtalig,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 X5 Silikonskal för Optimalt Kameraskydd
insta360-x5-roterande-linsskydd,insta360-x5-roterande-lens-protector,/products/insta360-x5-roterande-linsskydd,/products/insta360-x5-roterande-lens-protector,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 X5 linsskydd - Roterande Linsskydd för Insta360 X5
gopro-faste-action-forlangningsarmar-hjalm,gopro-mount-action-forlangningsarms-hjalm,/products/gopro-faste-action-forlangningsarmar-hjalm,/products/gopro-mount-action-forlangningsarms-hjalm,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,GoPro Fäste Action Förlängningsarmar för Hjälm
